epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.17776,3.19739,4.46947,2.02812,0.00303,0.35481,0.00195,0.00052,2.66234,4.1316,1.39289,0.00036674,0.00036674,0.00036674
2,8.29635,2.74243,3.47524,1.51858,0.00633,0.55488,0.07252,0.02181,2.80114,3.5326,1.46546,0.000749967,0.000749967,0.000749967
3,10.4212,2.45266,2.76296,1.40048,0.27253,0.14074,0.14064,0.05207,2.87114,3.23946,1.61194,0.00113245,0.00113245,0.00113245
4,12.4354,2.47338,2.67406,1.4403,0.19413,0.24843,0.17247,0.07212,2.9578,3.17587,1.69118,0.00151364,0.00151364,0.00151364
5,14.3374,2.39089,2.56331,1.40277,0.31843,0.28535,0.19955,0.0747,2.73582,3.11493,1.68647,0.00166049,0.00166049,0.00166049
6,16.1748,2.36682,2.29993,1.40652,0.37373,0.29853,0.22199,0.08336,2.78228,2.86129,1.74169,0.00165684,0.00165684,0.00165684
7,18.1912,2.32151,2.34001,1.38883,0.2253,0.30908,0.17357,0.06184,2.79717,3.10193,1.57869,0.00165238,0.00165238,0.00165238
8,20.1422,2.18083,2.1568,1.3056,0.2965,0.3188,0.27133,0.08606,2.56983,2.97591,1.48712,0.00164713,0.00164713,0.00164713
9,21.9309,2.29497,2.09227,1.34462,0.37551,0.26945,0.26865,0.09744,2.65139,2.8545,1.48444,0.00164108,0.00164108,0.00164108
10,23.8682,2.30011,2.08503,1.33761,0.22615,0.43251,0.23295,0.07165,2.592,2.86713,1.44209,0.00163424,0.00163424,0.00163424
11,25.8847,2.2345,1.98767,1.32027,0.52678,0.33514,0.34068,0.12466,2.48745,3.50185,1.41218,0.00162661,0.00162661,0.00162661
12,27.797,2.24101,2.01145,1.30211,0.39247,0.316,0.27638,0.10132,2.41735,2.74118,1.4025,0.00161822,0.00161822,0.00161822
13,29.6893,2.16712,1.92144,1.28627,0.5023,0.40326,0.3964,0.15137,2.38646,2.17154,1.37736,0.00160905,0.00160905,0.00160905
14,32.3595,2.18398,1.82617,1.28466,0.52979,0.38637,0.39907,0.1324,2.43897,2.21466,1.40786,0.00159913,0.00159913,0.00159913
15,34.8026,2.19716,1.85475,1.25774,0.43013,0.35706,0.31601,0.12549,2.50124,2.92307,1.36201,0.00158847,0.00158847,0.00158847
16,36.9095,2.16028,1.82507,1.27958,0.49693,0.40818,0.39501,0.15462,2.64236,2.73571,1.50025,0.00157706,0.00157706,0.00157706
17,39.1362,2.05918,1.77026,1.23878,0.5198,0.34657,0.36537,0.13464,2.41197,2.29415,1.33336,0.00156493,0.00156493,0.00156493
18,41.3381,2.06848,1.77414,1.22356,0.63468,0.42326,0.43716,0.16118,2.35282,2.04056,1.36019,0.00155209,0.00155209,0.00155209
19,43.4533,2.12985,1.84265,1.24208,0.54083,0.47157,0.45704,0.17667,2.45769,2.22058,1.35481,0.00153854,0.00153854,0.00153854
20,45.5716,2.07592,1.79105,1.23609,0.49736,0.52453,0.45602,0.16898,2.43959,2.23672,1.44269,0.00152431,0.00152431,0.00152431
21,47.8148,2.03577,1.75093,1.26904,0.51044,0.46498,0.43495,0.16745,2.4786,2.12501,1.42062,0.00150941,0.00150941,0.00150941
22,50.0017,2.03923,1.72386,1.23846,0.57122,0.4078,0.44576,0.16938,2.37737,2.15634,1.35287,0.00149384,0.00149384,0.00149384
23,51.9448,2.05751,1.64288,1.25119,0.60881,0.42295,0.48732,0.19541,2.19549,1.90111,1.2615,0.00147764,0.00147764,0.00147764
24,53.9174,2.05487,1.64595,1.23675,0.73398,0.45306,0.49514,0.2096,2.21777,1.96901,1.29414,0.0014608,0.0014608,0.0014608
25,56.0327,2.01964,1.54931,1.21072,0.55452,0.49174,0.48549,0.17251,2.21786,2.12568,1.29548,0.00144335,0.00144335,0.00144335
26,58.0406,1.98567,1.55993,1.18509,0.60048,0.44735,0.46334,0.16823,2.25175,2.06066,1.30329,0.00142531,0.00142531,0.00142531
27,60.0083,2.09114,1.67699,1.22596,0.54724,0.4635,0.48402,0.18367,2.25322,1.80431,1.25621,0.0014067,0.0014067,0.0014067
28,62.1124,1.99512,1.59006,1.24269,0.66533,0.44468,0.50455,0.18451,2.17618,1.82408,1.23432,0.00138753,0.00138753,0.00138753
29,64.1083,2.02682,1.57719,1.24522,0.53796,0.50478,0.48888,0.18315,2.2579,1.77447,1.26602,0.00136781,0.00136781,0.00136781
30,66.213,2.0237,1.55006,1.20846,0.58079,0.44792,0.50106,0.19127,2.24734,1.7514,1.23624,0.00134758,0.00134758,0.00134758
31,68.3148,1.98525,1.53775,1.19004,0.62104,0.48187,0.54171,0.20405,2.1161,1.8288,1.20372,0.00132685,0.00132685,0.00132685
32,70.3299,1.94781,1.51761,1.19276,0.54913,0.54606,0.51206,0.1867,2.17937,1.85154,1.26331,0.00130565,0.00130565,0.00130565
33,72.2287,1.91639,1.50063,1.19421,0.74096,0.43837,0.52557,0.20863,2.24945,1.89144,1.3329,0.00128398,0.00128398,0.00128398
34,74.47,1.95644,1.4725,1.22161,0.57353,0.51996,0.54662,0.22496,2.20493,1.7046,1.27031,0.00126188,0.00126188,0.00126188
35,76.5466,1.97925,1.44342,1.2183,0.70969,0.47981,0.54317,0.22409,2.18397,1.65304,1.29212,0.00123936,0.00123936,0.00123936
36,78.7735,1.92724,1.38691,1.17158,0.71198,0.49208,0.53853,0.23437,2.1185,1.72277,1.23516,0.00121645,0.00121645,0.00121645
37,81.1795,1.93415,1.43229,1.17961,0.72898,0.54343,0.57153,0.22808,2.16796,1.72395,1.24369,0.00119317,0.00119317,0.00119317
38,83.2787,1.96426,1.4611,1.1684,0.86233,0.43177,0.56468,0.24518,2.14608,1.67934,1.22361,0.00116955,0.00116955,0.00116955
39,85.2716,1.85583,1.38089,1.16231,0.70184,0.52825,0.56051,0.22913,2.26261,1.76569,1.32574,0.0011456,0.0011456,0.0011456
40,87.4057,1.8747,1.39734,1.18381,0.69146,0.53039,0.56673,0.23696,2.204,1.75243,1.29247,0.00112135,0.00112135,0.00112135
41,89.5825,1.84459,1.42741,1.19259,0.65156,0.54844,0.56597,0.2233,2.29481,1.72444,1.34324,0.00109683,0.00109683,0.00109683
42,91.8117,1.88636,1.32568,1.16603,0.69229,0.51228,0.55994,0.23153,2.10619,1.59624,1.21805,0.00107205,0.00107205,0.00107205
43,93.8191,1.92563,1.42303,1.18993,0.75026,0.45851,0.55932,0.21396,2.20141,1.58247,1.25012,0.00104705,0.00104705,0.00104705
44,95.872,1.88591,1.37276,1.1451,0.7141,0.49928,0.58221,0.25459,2.11546,1.50667,1.18642,0.00102184,0.00102184,0.00102184
45,97.9818,1.86205,1.37569,1.151,0.71047,0.47363,0.57355,0.23545,2.07456,1.50882,1.20984,0.000996456,0.000996456,0.000996456
46,100.514,1.78737,1.30416,1.125,0.66958,0.52092,0.56709,0.23971,2.09902,1.52726,1.21232,0.000970919,0.000970919,0.000970919
47,102.798,1.82359,1.29777,1.13786,0.82954,0.47437,0.58734,0.22656,2.11764,1.51587,1.22796,0.000945256,0.000945256,0.000945256
48,104.798,1.80126,1.271,1.14011,0.65068,0.49333,0.54306,0.22556,2.14552,1.63229,1.29539,0.00091949,0.00091949,0.00091949
49,106.875,1.82409,1.23267,1.14971,0.68246,0.54005,0.58235,0.23661,2.14523,1.53788,1.2971,0.000893648,0.000893648,0.000893648
50,109.066,1.86427,1.2655,1.13545,0.69062,0.57251,0.60482,0.26044,2.099,1.50569,1.23004,0.000867754,0.000867754,0.000867754
51,111.119,1.8625,1.30967,1.14595,0.74253,0.58866,0.61658,0.25488,2.1092,1.48273,1.23813,0.000841835,0.000841835,0.000841835
52,113.448,1.85579,1.21596,1.13184,0.75305,0.53049,0.58869,0.23294,2.16388,1.54812,1.24662,0.000815916,0.000815916,0.000815916
53,115.709,1.78405,1.21325,1.12381,0.81444,0.49052,0.6077,0.26732,2.05787,1.49911,1.20745,0.000790022,0.000790022,0.000790022
54,117.738,1.84967,1.25652,1.12523,0.71134,0.539,0.59296,0.24359,2.17976,1.61074,1.27154,0.00076418,0.00076418,0.00076418
55,119.885,1.83783,1.26232,1.14578,0.73376,0.57309,0.62119,0.25711,2.05551,1.54847,1.17538,0.000738414,0.000738414,0.000738414
56,121.839,1.84904,1.23405,1.12256,0.79964,0.55026,0.62686,0.24281,2.08796,1.51453,1.17368,0.000712751,0.000712751,0.000712751
57,123.886,1.73633,1.2052,1.11032,0.75635,0.53856,0.57693,0.24267,2.1633,1.50201,1.23677,0.000687214,0.000687214,0.000687214
58,125.979,1.79684,1.22834,1.09519,0.69734,0.5116,0.56142,0.25496,2.12382,1.43243,1.2091,0.000661831,0.000661831,0.000661831
59,128.23,1.73384,1.1821,1.09116,0.76106,0.52373,0.56514,0.23111,2.20318,1.4245,1.23137,0.000636625,0.000636625,0.000636625
60,130.3,1.76212,1.1895,1.10276,0.62794,0.58528,0.59117,0.25886,2.11484,1.38862,1.21214,0.000611621,0.000611621,0.000611621
61,132.37,1.75739,1.2013,1.14498,0.6554,0.57455,0.60246,0.26719,2.11335,1.40637,1.23695,0.000586845,0.000586845,0.000586845
62,134.385,1.6895,1.15217,1.10307,0.65521,0.58472,0.61054,0.25896,2.15011,1.43792,1.26257,0.00056232,0.00056232,0.00056232
63,136.523,1.6941,1.15971,1.11033,0.79402,0.54046,0.62869,0.26519,2.11946,1.3502,1.24377,0.000538072,0.000538072,0.000538072
64,138.618,1.70777,1.17195,1.09254,0.82171,0.54532,0.62596,0.26278,2.14345,1.42905,1.24333,0.000514122,0.000514122,0.000514122
65,140.688,1.69699,1.13594,1.07523,0.7746,0.53387,0.61442,0.26198,2.09413,1.38389,1.22422,0.000490497,0.000490497,0.000490497
66,142.718,1.77199,1.14408,1.12398,0.83216,0.53615,0.62341,0.28694,2.02354,1.39871,1.19536,0.000467218,0.000467218,0.000467218
67,144.776,1.68237,1.07915,1.07779,0.79541,0.52035,0.62256,0.28901,2.0054,1.367,1.18685,0.000444309,0.000444309,0.000444309
68,146.863,1.74882,1.13654,1.10292,0.77401,0.51285,0.60186,0.25421,2.11907,1.46798,1.23614,0.000421792,0.000421792,0.000421792
